OBJECTID,GEOID,NAME,Hsn__,H___P,Prcn_,Pr__P,Pr_____,P______,Prcnt_ln_,Prcnt_ln__,Prcnt_lw_,Prcnt_lw__,Prc___,Prc____P,Dmg_S,Ast__,As___P,Cncr_,Cn__P,Dbts_,Db__P,Hr___,H____,Lf_xp,Lf__P,Lw_b_,Lw___P,Mnt__,M___P,Pp__64,P__64_,Pp__5,P__5_,Sn_P_S,Hl__S_F_S,Ar_t_,Ar___P,Ds____PM_,D____PM__,Drn__,D___P,Ld_x_,Ld___P,Noise,Ns_Pr,Oth__,O___P,Ozone,Ozn_P,Fn_p_,F___P,Tr____,T_____,Envrnmntl_,Prxmty_t_h,Prxmty_t_1,Prx___,Prx____P,Pr__N_P_L_,P__N_P_L__,Prxmty_t_l,Prxmty_t_2,Pr__R_M_P_,P__R_M_P__,Im___,I____,Wst__,W___P,Envrnmnt_1,Drght,Drg_P,Fldpl,Fld_P,Ext__,E___P,Wldf_,Wl__P,Cl_V_S,Pl__C_B_S,EnS_S,Envrnmnt_2,Envrnmnt_3,C_V_S_,S_P_S_,D_S_P,P__C_B_S_P,H__S_F_S_P,ES_S_,Shape__Area,Shape__Length
11,08081,Moffat,0.288027761711972,53.125,0.149992351231452,62.5,0.086942038640906,56.25,0.019086176980914,57.6271186440678,0.344538455674975,71.875,0.215764812575574,40.625,56.175886852109,10.341,19.6428571428571,58.59375,67.1875,70.3125,71.875,78.90625,85.9375,77.925,88.7096774193548,9.517,54.8387096774194,19.8,93.75,0.152282345828295,23.4375,0.060837363966143,78.125,57.4408031384875,56.8083449952983,0.119716642899787,50,0.028434085012412,57.8125,39.2156862745098,39.2156862745098,0.217191601049869,50,27.5835224135339,1.5625,0.408760579810642,70.9677419354839,48.4709520547945,59.375,6.17789931506849,71.875,91608.3051876889,56.25,37.6184357851342,0.001678269284531,5.55555555555556,24.0267538368533,79.3650793650794,0,0,43.5279794998709,60.4651162790698,0.129113160456465,43.5897435897436,30.952380952381,11.1111111111111,595.374789040837,54.8387096774194,29.8548673424116,45.5938697318008,53.125,0,0,35.75,90.625,595.331638970349,75,71.2091948561925,44.0752334422181,49.6817212919686,43.75,32.8125,90.625,81.25,70.3125,60.9375,78.125,76.5625,1.30950045638565,5.03264629202392
12,08059,Jefferson,0.287831624519658,51.5625,0.104758093282641,34.375,0.047716371907501,31.25,0.011540784991526,33.8983050847458,0.163399686495725,7.8125,0.235022454045432,51.5625,30.1847867817989,30.113,73.2142857142857,71.875,90.625,38.28125,39.0625,32.8125,29.6875,79.8201550387597,54.8387096774194,9.137,45.1612903225806,16.4,29.6875,0.170723094334552,35.9375,0.048380845415912,60.9375,47.5339750186653,38.8593809002321,72.4007141503192,98,0.188721038451342,92.1875,11.7647058823529,11.7647058823529,0.138947283799264,31.25,37.371866405474,92.1875,8.67160442181745,90.3225806451613,49.0194097203978,71.875,7.98877361606305,89.0625,1849781.46769292,95.3125,63.5366722777848,1.52716107484742,83.3333333333333,33.4340470373952,85.7142857142857,0.40023836372864,75,1.23618010174654,16.2790697674419,0.243353700353291,61.5384615384615,95.2380952380952,82.5396825396825,34692.3428100627,98.3870967741936,63.9169097393544,23.7547892720307,10.9375,0.331020074013749,67.6470588235294,24,25,1837.66490909091,98.4375,36.7338875578352,56.9310354631898,43.8969995089375,87.5,85.9375,40.625,60.9375,31.25,87.5,40.625,70.3125,0.210194058863635,2.85932344564153
13,08117,Summit,0.314382978723404,71.875,0.062287655719139,3.125,0.057671517671518,40.625,0.031489361702128,72.8813559322034,0.205010723337883,18.75,0.220965918268454,45.3125,28.7525366395997,2.604,5.35714285714286,48.4375,40.625,17.96875,14.0625,25,20.3125,82.1666666666667,16.1290322580645,13.561,90.3225806451613,15.3,9.375,0.148732030366661,21.875,0.033144887740268,15.625,18.7772914640037,23.7649140518017,0.172746981859294,52,0.0249734811828,45.3125,78.4313725490196,78.4313725490196,0.019296686555795,3.125,32.4725027527335,53.125,0.065674168073496,58.0645161290323,51.0388349315068,96.875,5.07161689497717,34.375,179797.106562586,76.5625,42.5189359339756,0,0,0.473029806093606,19.047619047619,0.025253491114727,42.8571428571429,0,0,0,0,48.4126984126984,17.4603174603175,28488.6279622679,96.7741935483871,34.2703785742084,31.0344827586207,20.3125,0.089649775784921,38.2352941176471,32,64.0625,150.042255440956,45.3125,38.7491722863034,39.5143556821157,18.6329246872974,59.375,45.3125,46.875,9.375,28.125,45.3125,15.625,20.3125,0.168271888245727,2.59952842272637
14,08101,Pueblo,0.312729169771948,68.75,0.184784855374664,84.375,0.099642961864188,65.625,0.014592338649575,40.6779661016949,0.368280799321906,78.125,0.494947512415618,93.75,69.5738532686976,50.859,92.8571428571429,50.78125,53.125,85.15625,85.9375,60.15625,60.9375,76.5722222222222,95.1612903225807,10.759,67.741935483871,18,64.0625,0.188854194546049,48.4375,0.055009367472567,70.3125,69.1887201430708,69.3812867058842,7.03600511787643,82,0.10961257368491,84.375,62.7450980392157,62.7450980392157,0.345406555745951,67.1875,33.2041101334114,60.9375,17.134508849722,96.7741935483871,47.0670904109589,37.5,6.1481355692017,67.1875,748352.715160451,87.5,69.5178665320149,0.55027600640716,50,71.8916452639441,93.6507936507936,0.816268869068752,78.5714285714286,0,0,0.709983282537179,87.1794871794872,92.8571428571429,74.6031746031746,15725.2207253737,93.5483870967742,77.9218054190898,42.911877394636,42.1875,0.22563406635036,58.8235294117647,22.75,14.0625,195.530562892528,53.125,36.8998063362268,63.4643362048366,87.3699259437749,95.3125,96.875,43.75,93.75,90.625,95.3125,95.3125,100,0.638492540038442,3.43119579056336
15,08013,Boulder,0.34964390134193,90.625,0.085419053629307,20.3125,0.042704789712654,26.5625,0.01608066571707,47.4576271186441,0.218319881590932,26.5625,0.237566102148738,54.6875,38.7219509470507,21.091,51.7857142857143,42.1875,29.6875,14.84375,10.9375,16.40625,9.375,81.63,22.5806451612903,8.266,17.741935483871,15.4,10.9375,0.152861028789806,25,0.040644073778822,26.5625,19.7572441710918,29.2395975590712,7.71333137088295,84,0.116566291562626,85.9375,66.6666666666667,66.6666666666667,0.125390938038537,26.5625,36.3952017191443,85.9375,4.03268229920153,88.7096774193548,49.3563172462241,79.6875,8.41283747804707,92.1875,898711.967075697,89.0625,73.6499202246318,2.15274698052676,94.4444444444444,42.0464642081186,90.4761904761905,0.144944796168361,57.1428571428571,3304.82135975188,93.0232558139535,0.274399434301921,66.6666666666667,102.380952380952,92.0634920634921,9880.42612760392,85.4838709677419,81.4743029435382,19.9233716475096,4.6875,0.651241312304671,76.4705882352941,23.5,18.75,1369.93399992396,95.3125,28.290896585514,64.266259994579,37.2858710630843,98.4375,98.4375,26.5625,12.5,45.3125,96.875,26.5625,59.375,0.20253550776124,2.38337400722111
16,08031,Denver,0.350881212766748,92.1875,0.098917879282033,26.5625,0.094514959638528,60.9375,0.03405952366208,76.271186440678,0.255800836860813,39.0625,0.461433595948227,85.9375,58.0347536251519,61.757,98.2142857142857,29.6875,4.6875,54.6875,54.6875,46.875,42.1875,78.524375,79.0322580645161,10.09,62.9032258064516,17.4,53.125,0.119959200900394,3.125,0.055599324704558,71.875,34.1401771639682,46.08746539456,19.7281654835244,88,0.473131657586858,100,0,0,0.367516533240515,75,49.6069846337595,100,33.809008368304,100,47.0564457595813,35.9375,9.03125522548869,95.3125,4662260.62372032,100,83.038636099811,2.59474781814866,100,0.001670051907019,1.58730158730159,1.87029544856383,89.2857142857143,0.006048449591688,2.32558139534884,1.22661863685995,100,138.888888888889,100,3765.6053833912,70.9677419354839,30.2893926834694,25.2873563218391,12.5,1.55348473681588,91.1764705882353,24,25,1124.92479970867,93.75,40.4274192866193,59.1985210424277,54.1356751280173,100,35.9375,51.5625,31.25,78.125,90.625,57.8125,82.8125,0.0421204704693992,2.72568391444805
17,08085,Montrose,0.270918906231663,39.0625,0.132652579945288,54.6875,0.106957391220204,73.4375,0.036028635136721,77.9661016949153,0.29494806421152,50,0.252434439436751,60.9375,57.7946637133849,21.38,57.1428571428571,48.4375,40.625,52.34375,51.5625,60.9375,65.625,78.9666666666667,67.741935483871,9.86,59.6774193548387,18.3,67.1875,0.248955000817318,78.125,0.048268453868248,59.375,59.8795749153406,58.8371193143628,1.03800332859029,68,0.044540279102047,73.4375,37.2549019607843,37.2549019607843,0.152965171007217,37.5,30.2567771350997,17.1875,0.291027122570712,69.3548387096774,46.7149648401826,29.6875,5.16555296803653,39.0625,209067.73028702,79.6875,45.0776895042713,0,0,26.3736352417083,80.9523809523809,0.00328118827885,17.8571428571429,0.087633257752815,4.65116279069767,0.138987582747408,46.1538461538462,69.8412698412698,44.4444444444444,1966.27313227172,59.6774193548387,30.6130376564785,63.9846743295019,93.75,0.080064907998226,35.2941176470588,42,100,419.121725925275,65.625,68.2630565634499,47.2578683071177,55.1715779062146,68.75,37.5,84.375,85.9375,75,73.4375,85.9375,87.5,0.599091964184936,4.59010180855295
18,08037,Eagle,0.394891455885282,100,0.062378378378378,6.25,0.076036693578624,46.875,0.04097789285003,83.0508474576271,0.2269206463844,28.125,0.357861635220126,71.875,41.2387942904095,3.06,7.14285714285714,23.4375,3.125,20.3125,15.625,12.5,6.25,82.2833333333333,11.2903225806452,8.936,40.3225806451613,16,18.75,0.13644204851752,9.375,0.049308176100629,62.5,13.0401032297867,27.1394487600981,1.14077076558983,70,0.027382395920969,53.125,31.3725490196078,31.3725490196078,0.037998426816724,4.6875,30.9303305798474,29.6875,0.821720358529248,79.0322580645161,49.9725589041096,89.0625,5.18557414383562,40.625,138340.776946156,68.75,40.8844877417637,0,0,10.0477348969858,68.2539682539683,0.142916056455802,53.5714285714286,0,0,0,0,66.6666666666667,39.6825396825397,2646.803810525,66.1290322580645,55.6561537475738,37.1647509578544,26.5625,0.169599424875258,44.1176470588235,34,79.6875,272.216497761803,57.8125,48.2029158936692,46.4070112811926,24.9904742494122,54.6875,78.125,60.9375,1.5625,51.5625,68.75,23.4375,32.8125,0.459671322305894,3.15804994189259
19,08113,San Miguel,0.32987012987013,81.25,0.05281428217208,1.5625,0.018147086914995,4.6875,0.037662337662338,79.6610169491525,0.295624067628046,53.125,0.153674832962138,17.1875,18.7380199135847,0,0,75.78125,92.1875,14.84375,10.9375,23.4375,18.75,80.4,43.5483870967742,10.266,66.1290322580645,15.8,15.625,0.164686958673596,32.8125,0.028334570650829,7.8125,26.1412062930857,22.4396131033352,0.001406831402003,10,0.008833457263428,7.8125,29.4117647058824,29.4117647058824,0.069622181596588,12.5,30.1716566099353,14.0625,0.007061425860147,25.8064516129032,48.2577232876712,56.25,4.52119452054795,7.8125,12413.7893252724,10.9375,15.4479692955395,0,0,3.02845383037609,44.4444444444444,0,0,0.126511864330074,6.97674418604651,0,0,88.8888888888889,66.6666666666667,126.838924052055,45.1612903225806,31.0839599665113,59.3869731800766,87.5,0,0,36,92.1875,459.495566911251,71.875,83.3846255408916,36.3411310246205,16.1809374862848,4.6875,39.0625,100,18.75,14.0625,37.5,10.9375,12.5,0.342388945365883,3.44955828631559
20,08023,Costilla,0.264705882352941,35.9375,0.264011379800853,100,0.11654566297287,82.8125,0.079084967320261,96.6101694915254,0.502702702702703,95.3125,0.664402942840973,100,80.594006086285,15.209,30.3571428571429,9.375,1.5625,96.875,100,94.53125,96.875,79.5,62.9032258064516,18.935,98.3870967741936,18.7,78.125,0.277589134125637,90.625,0.046972269383135,50,46.4504787838248,63.5222424350549,0.0261395887335,26,0.009718668213889,10.9375,1.96078431372549,1.96078431372549,0.294239535847493,60.9375,29.7432303017042,9.375,0.017858409684808,33.8709677419355,48.1758739726027,53.125,4.68577397260274,17.1875,16643.1997272673,17.1875,17.6862829487203,0,0,1.57273068731288,36.5079365079365,0,0,0,0,0,0,45.2380952380952,15.8730158730159,21.2690544855082,24.1935483870968,24.112862457532,50.9578544061303,70.3125,0,0,32.5,70.3125,92.8406612250497,28.125,51.8066929496304,27.8230303261508,35.0687370718954,9.375,17.1875,71.875,59.375,100,9.375,92.1875,57.8125,0.323925142729649,2.63276738864599
21,08014,Broomfield,0.264093279739561,32.8125,0.079124556225091,14.0625,0.037390169972758,23.4375,0.016343885991429,49.1525423728814,0.124266637627105,3.125,0.253996159359533,62.5,21.6794467212397,20.828,48.2142857142857,42.1875,29.6875,22.65625,20.3125,7.8125,3.125,81.3315789473684,29.0322580645161,8.834,33.8709677419355,14.5,4.6875,0.146769264057556,20.3125,0.04745354718308,56.25,19.8502730763616,20.7648598988007,6.7551866867586,78,0.227701834999547,95.3125,0,0,0.046780266768779,7.8125,45.2247968983309,98.4375,0.602600900154992,75.8064516129032,48.2197865296804,54.6875,9.27115331050228,96.875,1288240.95189822,93.75,61.8901503221621,0.751858352219969,61.1111111111111,0,0,0.198520048780366,67.8571428571429,1400.2929606462,88.3720930232558,0.066232541778527,33.3333333333333,63.4920634920635,34.9206349206349,4758.14395344004,75.8064516129032,56.4438101758111,19.9233716475096,4.6875,1.21269183575765,88.2352941176471,23,15.625,966.278385197645,90.625,27.6638687855618,51.9719949014243,21.4135301016841,82.8125,81.25,25,14.0625,17.1875,76.5625,9.375,26.5625,0.00915786396808471,1.17462701589457
22,08015,Chaffee,0.339620560335319,87.5,0.13007593265104,53.125,0.06956802063185,42.1875,0.015552614162806,44.0677966101695,0.295343069716175,51.5625,0.15431404620732,18.75,45.0461722756104,17.539,35.7142857142857,39.0625,15.625,39.84375,43.75,41.40625,35.9375,79.88,53.2258064516129,9.777,56.4516129032258,17,39.0625,0.26277857288898,84.375,0.03920466162339,25,39.1731889729558,42.1096806242831,0.006978429429206,14,0.016040636529884,26.5625,60.7843137254902,60.7843137254902,0.228323699421965,51.5625,31.0412636975014,31.25,0.098662534140354,62.9032258064516,49.8247273972603,87.5,4.63480136986301,12.5,67047.1186431531,51.5625,36.9761710816809,0,0,17.8713854763849,77.7777777777778,0.149895759033106,60.7142857142857,0,0,0,0,58.7301587301587,28.5714285714286,52.7676825961649,33.8709677419355,46.2355997367655,42.911877394636,42.1875,0.042887490774273,23.5294117647059,37.5,93.75,131.871228926353,40.625,44.0950538821867,41.0707489455785,34.3166152825681,40.625,64.0625,57.8125,45.3125,56.25,53.125,46.875,54.6875,0.272389119316358,3.12582189458377
23,08025,Crowley,0.259315589353612,25,0.21263205214655,96.875,0.189692197566213,100,0.012167300380228,37.2881355932203,0.532479208810969,100,0.475786924939467,87.5,65.5071051427735,5.121,12.5,38.28125,14.0625,93.75,96.875,64.84375,70.3125,76.4,98.3870967741936,13.38,87.0967741935484,18,64.0625,0.144240747146316,17.1875,0.029920442753372,12.5,37.3430074972168,51.4250563199952,0,0,0.030484927273624,60.9375,23.5294117647059,23.5294117647059,0.477377049180328,90.625,32.8468698863847,57.8125,0.000175106355537,3.2258064516129,45.2003054794521,20.3125,5.90581917808219,59.375,7117.05650884564,7.8125,26.2917867597857,0,0,0.442411379427184,15.8730158730159,0,0,0,0,0.020193624360263,17.9487179487179,95.2380952380952,82.5396825396825,73.3205431668446,35.4838709677419,30.2236330144639,44.8275862068966,48.4375,0,0,23.75,20.3125,50.147467219742,18.75,26.422999917688,27.3075516129308,27.8642536598281,18.75,34.375,21.875,40.625,84.375,6.25,68.75,40.625,0.213559164024218,1.95538803343009
